,P_LRMS_QUEUING,P_LRMS_RUNNING,P_LRMS_SUBMITTING,P_PMGR_QUEUING,P_PMGR_SCHEDULING,TTC,U_AGENT_EXECUTING,U_AGENT_QUEUING,U_AGENT_QUEUING_EXEC,U_AGENT_SCHEDULING,U_UMGR_BINDING,U_UMGR_SCHEDULING,experiment,nhost,npilot,npilot_active,nunit
rp.session.radical.mturilli.017078.0013,352.59490037,1949.4849999,29.0829999447,0.00189995765686,0.0980999469757,2213.6558001,1702.27939987,0.0142998695374,0.0150003433228,1312.7676003,0.00510001182556,0.10640001297,exp3,3.0,4,2,8
rp.session.radical.mturilli.017078.0014,207.46119976,847.198699951,29.9804000854,0.00200009346008,0.0979998111725,1081.39369988,821.050799847,0.00920033454895,0.013899564743,423.881299973,0.00559997558594,0.106499910355,exp3,1.0,4,4,8
rp.session.radical.mturilli.017078.0015,195.793200016,9123.31170034,29.5583000183,0.0019998550415,0.0978999137878,9358.36660004,9095.01850009,0.0831003189087,0.0800008773804,8622.3124001,0.0305998325348,0.372900009155,exp3,3.0,4,2,64
rp.session.radical.mturilli.017079.0002,262.351900101,2607.81660008,30.6936998367,0.00260019302368,0.101199865341,2864.95880008,2578.38160014,0.0822994709015,0.0862009525299,2214.91589999,0.0283999443054,0.697000026703,exp4,3.0,8,8,64
rp.session.radical.mturilli.017083.0001,235.634600163,2491.42610025,34.5076999664,0.00289988517761,0.0956001281738,2728.24029994,2239.64039993,0.0522997379303,0.0666007995605,1573.8362999,0.0140001773834,0.711499929428,exp4,2.0,8,7,32
rp.session.radical.mturilli.017083.0002,304.20600009,1764.52649999,30.7184998989,0.00300002098083,0.098799943924,1958.22850013,1353.70889997,0.0178000926971,0.025899887085,679.027400017,0.00539994239807,0.206199884415,exp4,2.0,8,7,16
rp.session.radical.mturilli.017083.0003,206.070399761,8366.93519998,31.4814999104,0.00240015983582,0.0954999923706,8580.30069995,8123.27740002,0.227001428604,0.29940032959,7705.86420012,0.0597999095917,1.10080003738,exp4,2.0,8,6,128
rp.session.radical.mturilli.017083.0004,287.5776999,6960.51220012,30.9070999622,0.00289988517761,0.0959000587463,7182.17729998,6708.96700001,0.262498617172,0.23969912529,6273.53509998,0.0445001125336,0.593899965286,exp4,3.0,8,7,128
rp.session.radical.mturilli.017083.0005,223.549299955,5230.64090014,30.5597999096,0.0025999546051,0.0989999771118,5484.19029975,5201.01719999,0.108299255371,0.194699525833,4743.56469989,0.0202000141144,0.796099901199,exp4,2.0,8,5,64
rp.session.radical.mturilli.017083.0006,194.137500048,15388.9017003,30.8515999317,0.00240015983582,0.0954999923706,15602.8502998,15361.8042002,0.251499652863,0.240800142288,14893.3384001,0.0389997959137,0.958700180054,exp4,3.0,8,4,128
rp.session.radical.mturilli.017084.0000,257.030900002,1708.9934001,31.7431998253,0.00250005722046,0.0986001491547,1949.07920003,1462.56429982,0.0107002258301,0.0174000263214,764.717999935,0.0032000541687,0.10640001297,exp4,3.0,8,6,8
rp.session.radical.mturilli.017084.0001,289.696699858,1716.33049989,30.459400177,0.00339984893799,0.0965001583099,1956.14549994,1472.66429996,0.0233998298645,0.0438001155853,1019.21050024,0.00889992713928,0.203700065613,exp4,2.0,8,6,16
rp.session.radical.mturilli.017084.0002,212.631400108,2253.42159986,31.0849001408,0.00300002098083,0.0992000102997,2501.71469998,2224.76819992,0.0275001525879,0.0342001914978,1418.44449997,0.00769996643066,0.20760011673,exp4,3.0,8,5,16
